,id,img,label,text
8025,58612,img/58612.png,1,this is my neighborhood after the mexicans moved in. welcome to the future of america
2034,45691,img/45691.png,1,"call me ""sir"" one more time and i'll show you a sir! macho ma'am tranny savage"
2139,89302,img/89302.png,1,damn son where'd you find this its ok baby im vice lord you do know know im a tranny right
7876,47516,img/47516.png,0,a dictator.. emphasis on the dic*
3304,40561,img/40561.png,0,feeling pretty cute might blow something up later....idk yet
4525,86751,img/86751.png,0,and just like that.. i'm into hiking
7762,50397,img/50397.png,1,all muslims are terrori but all terrorists are muslim
1530,3615,img/03615.png,0,joke time 3 muslims walk into a bar.
4626,24389,img/24389.png,0,when you and your best friend get in trouble together
4456,76134,img/76134.png,0,one girls peice of shit boyfriend is another drunk sluts prince charming
8569,95038,img/95038.png,0,when you take these pics we think about cumming in your mouth
10940,5962,img/05962.png,1,best thing about her blowjob?... you know shes gonna swallow!!!
10897,65802,img/65802.png,1,how to put a refugee baby to sleep in less than one minute
12464,42960,img/42960.png,0,"what did i do, i am so angry at myself"
3473,51249,img/51249.png,0,even michelle obama has her bad days
5745,57469,img/57469.png,0,when she throws on your sweater while you're at her house
5886,83056,img/83056.png,1,sea monkeys
4206,52301,img/52301.png,0,"let me be clear.... if i had a son, he would look like harambe"
4906,32854,img/32854.png,0,how do you like them well done please!
11339,53712,img/53712.png,0,happy international sandwich maker's day from make aus grouse again
6499,58917,img/58917.png,0,fight for our country to keep the land we made home
11256,52190,img/52190.png,1,what a true rapist looks like
5659,1943,img/01943.png,1,person i chase: *shows clear signs he doesn't want to do anything with me* me: i'm gonna pretend i didn't see that
383,69042,img/69042.png,0,"did i just hear grandma tell me ""no"""
2659,7391,img/07391.png,0,"i'm not racist, but... racist memes are allowed, right?"
5926,28461,img/28461.png,0,red bull gives you wings vodka gives you 4x4
1243,81260,img/81260.png,1,"the ink pen has always been one of the most deadliest weapons of the caucasian with it he can sign your life away to poverty, prison, and slavery"
1255,73956,img/73956.png,1,"i just got out of church... just kidding, i'm not that fucking retarded."
831,53017,img/53017.png,0,children trying to stay cool in the water
10870,58369,img/58369.png,1,spot me a drink
929,75210,img/75210.png,0,"yeah, i hear you i just don't give a fuck"
534,29731,img/29731.png,0,take me out for dinner first then you have my permission to play lol
3956,67051,img/67051.png,0,"banned for life from twitter for criticizing a movie. used twitter to promote a hoax hate crime, risking an entire race war. still on twitter"
5067,24986,img/24986.png,0,the best game of all time farming simulator 1848
11958,38524,img/38524.png,0,organic vegetable are good for breast feeding
9711,80713,img/80713.png,1,rare picture of child birth
1258,41263,img/41263.png,0,its national hebrew day go pick up a hot jewish girl
2844,90138,img/90138.png,0,they told me to clean my weapons so i washed my hands
10523,31805,img/31805.png,1,what if hitler was the second coming of jesus and he just wanted revenge
693,13459,img/13459.png,0,when you're in jail and missing her like crazy
7877,75134,img/75134.png,0,i don't understand i thought we killed everyone that had dirt on us
2313,42751,img/42751.png,0,i built this myself with my own hands
3127,18593,img/18593.png,0,how you guys think you looks like but when pados wale pandit jee sees you
6600,53481,img/53481.png,1,minesweeper just got real... as fuck !!
371,64701,img/64701.png,0,"well judge, made me do it all remember it was me who first said was kenyan"
277,35861,img/35861.png,0,banner in the streets hulk in the sheets
1051,56208,img/56208.png,0,guess who got reported again by some weak minded asshole
6820,79624,img/79624.png,0,just as i suspected   you're stupid from this angle as well
11481,61308,img/61308.png,0,i am so happy i got a goldfish
5370,82190,img/82190.png,0,shit posting groups: *exist* indogs: it's free real estate
6007,40621,img/40621.png,0,burkas are really good for sun protection
11072,70698,img/70698.png,1,there's a 50% chance this phone is stolen
10944,36708,img/36708.png,1,flight attendant: *yawns* deaf passengers:
4466,75461,img/75461.png,0,well there's your problem your serpentine belt is the wrong size
5630,5398,img/05398.png,1,when a cop pulls his gun on you but you're white gotcha
3080,12603,img/12603.png,0,it would be surprising to find a muslim in a gay bar due to their beliefs
2422,17385,img/17385.png,1,"when whit people don't get shot by the cops because of their skin color i'm sorry, is this some sort of whitejoke that i'm too black to understand?"
8854,19075,img/19075.png,0,when you smell cake
10953,31705,img/31705.png,1,i'm not racist i hate white liberals more than anybody
9235,23810,img/23810.png,1,these aren't people
1656,89314,img/89314.png,0,come here you big cup of beautiful coffee and lie to me about how much we are going to get done today
9341,52394,img/52394.png,0,i forgot what are we fighting over again?
11633,19423,img/19423.png,0,why does my music not sound like that? i'm doing exactly the same thing
2350,62981,img/62981.png,0,i just chased 25 000 high paying jobs out of new york imagine what i'll do for the rest of the country hold my beer
6027,96405,img/96405.png,1,execute a plan to accept your actual born sex. you'll be happier when you do
8717,1765,img/01765.png,1,"after a girl dies, what organ in her body stays warm? my dick"
5553,10254,img/10254.png,0,when you realize tomorrow is monday
583,62435,img/62435.png,1,wing wing wing herro? thats racist
9612,3976,img/03976.png,1,"warning ""every"" country that has become involved in muslim immigration has eventually become an islamic state, and don't the fate of your country will be any different islam is a cancer for which there is no cure"
873,83941,img/83941.png,0,largest drug bust in u.s. history.... 2 tons of crack!!
10080,69304,img/69304.png,1,"sharia law, it's not just for lunatics anymore... unless we say hell no! memegenerator.net"
5491,13570,img/13570.png,0,who needs help getting into the u.s i can help
10941,4763,img/04763.png,1,when you're still fucked from last night's bender and sunglasses aren't gonna cut it
10231,10462,img/10462.png,1,back in my day there were only two genders male and not male
2928,31497,img/31497.png,0,when the squad is about to get lit.
9777,29467,img/29467.png,0,love is more powerful than any other force in the world
11048,37201,img/37201.png,1,every white man dream
8462,38179,img/38179.png,1,i fucking hate dog shagging islamist cunts
11170,52187,img/52187.png,1,lawn darts muslim style
4758,67283,img/67283.png,0,i'm trying to put a load in the dishwasher him: let me help you!
5765,53064,img/53064.png,0,white people after they put the divider in between your groceries
4142,8173,img/08173.png,1,i may not be a smart man ilhan but i know what a jew-hating islamist sounds like
8024,86271,img/86271.png,0,marriage is simple your wife does whatever she wants and you do whatever she wants
1199,57042,img/57042.png,1,go trump maga white power 2020 kill every race we don't want them fucking our white women
1645,72490,img/72490.png,0,hello is it me you're looking for?
9362,92068,img/92068.png,0,still better than mexican
2130,6541,img/06541.png,1,"hey i just met you and this is crazy, but here's my number i'll gas your baby"
2336,24958,img/24958.png,1,a new target for entry level police academy ''
885,30276,img/30276.png,0,when the dishwasher isn't working properly and you have no tecnical knowledge whatsoever so you just decide to talk to it and hope it starts working good luck
1237,76810,img/76810.png,0,"this is adam schiff -democrat- house intelligence chairman, on record to have seen overwhelming evidence mueller report delivered 3/22/19 of collusion why more investigations? just ask this clown for what, exactly, he has seen"
5230,94517,img/94517.png,0,border agents in texas apprehend over 400 illegals in just a 5-minute span this is an invasion! why are some republicans trying to keep our borders open??
6103,89617,img/89617.png,0,horrifying photo from nuclear bomb
2137,61908,img/61908.png,0,under section 44 of the australian constitution any person having allegiance to a foreign power is not entitled to a seat in our government. the un is foreign power
2977,7895,img/07895.png,0,the feeling of dry skin be like
12375,9643,img/09643.png,0,when you're watching the #roots remake but you're in an interracial relationship
12513,62584,img/62584.png,0,what do gangsters and monkeys have in common
9129,95806,img/95806.png,0,hitler used gas as a method of killing jews
3816,78541,img/78541.png,0,when a dog' s been bad when a cat's been bad
1452,37859,img/37859.png,1,tired of bitches running from the dick? i give you the clamp that bitch down 3000
10115,16320,img/16320.png,0,everyone wants to be gangster until it's time to do gangster shit
9467,3217,img/03217.png,0,"they are like sperm you get millions, but only one works"
9977,1459,img/01459.png,0,trust me... ...they're re all terrorists
11233,86309,img/86309.png,1,1939-1945 bake off winner
7122,10653,img/10653.png,0,buckle up sugar tits 'cause i'm about to take you to pound town in the fuck truck
5114,50938,img/50938.png,0,how you feel after reading owen's mortification of sin
9854,95302,img/95302.png,0,use one to protect your watermelon farm
9760,97853,img/97853.png,0,ahmed? im pregnant!!!
10026,3624,img/03624.png,0,just a traditional muslim man with a beard
11923,87320,img/87320.png,0,what's the difference between the 2? one is a bike and the other are two men sitting
6608,76538,img/76538.png,0,you smell coffee? me neither. make some!
5718,54318,img/54318.png,0,how many people does it take to change the world
9708,23047,img/23047.png,0,i like to play outside
